City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Hambantota,LK,78.49,broken clouds,6.1241,81.1185,Bungalow 63
9,Abu Dhabi,AE,84.22,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
14,Lorengau,PG,81.73,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
17,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
18,Alta Floresta,BR,89.42,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
19,Butaritari,KI,82.27,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
23,Punto Fijo,VE,82.51,overcast clouds,11.6956,-70.1996,Santa Fe Inn Hotel
24,Atuona,PF,77.76,clear sky,-9.8,-139.0333,Villa Enata
26,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
33,Morondava,MG,75.49,scattered clouds,-20.2833,44.2833,La Case Bambou
42,Kingston,JM,86.95,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
48,Lazaro Cardenas,MX,83.95,clear sky,17.9583,-102.2,quinta antigua
51,Mersing,MY,75.11,broken clouds,2.4312,103.8405,Timotel Hotel
53,Kavaratti,IN,81.95,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
55,Hithadhoo,MV,82.98,overcast clouds,-0.6,73.0833,Scoop Guest House
63,Guerrero Negro,MX,75.36,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
65,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
69,Rumonge,BI,75.78,scattered clouds,-3.9736,29.4386,Kwetu Guest House
70,Ibra,OM,77.09,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
79,Mapastepec,MX,86.05,broken clouds,15.4333,-92.9,Hotel San Carlos
82,Meulaboh,ID,75.6,overcast clouds,4.1363,96.1285,Kost Pria
83,Sao Filipe,CV,80.08,broken clouds,14.8961,-24.4956,Hotel Xaguate
86,Axim,GH,79.12,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
97,Palmas,BR,78.67,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
98,Kovur,IN,79.7,overcast clouds,14.4833,79.9833,Hotel Yesh Park
106,Nicoya,CR,76.55,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
108,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
115,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
116,Cabo San Lucas,MX,88.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
117,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
118,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
120,Isangel,VU,75.36,clear sky,-19.55,169.2667,Tanna Lodge
121,Jizan,SA,86.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
127,Urcos,PE,75.09,overcast clouds,-13.6861,-71.6228,Qali Samanawasi
138,San Patricio,US,85.01,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
139,Pekan,MY,77.63,light rain,3.4836,103.3996,Pekan Budget Hotel
145,Labuhan,ID,80.35,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
147,Boyolangu,ID,76.57,overcast clouds,-8.1181,111.8935,Yos ega cv
148,Hurghada,EG,77.04,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
158,Owando,CG,77.23,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
164,Saint George,US,81.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
166,Wahiawa,US,78.8,clear sky,21.5028,-158.0236,Aloha Wahiawa
170,Ormara,PK,80.35,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
172,Areia Branca,BR,88.0,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
173,Kimbe,PG,75.76,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
178,Samana,DO,89.82,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
183,Dennery,LC,86.13,scattered clouds,13.8996,-60.8879,The Fox Grove Inn
186,Amudalavalasa,IN,75.43,scattered clouds,18.4167,83.9,Sri Venkateswara Kalyanamandapam
194,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
195,Pedernales,DO,86.97,few clouds,18.0384,-71.744,Hotel Costa Marina
196,Takaungu,KE,77.59,few clouds,-3.6837,39.8566,Takaungu House
201,Ternate,ID,79.97,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
203,Sibolga,ID,76.73,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
204,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
206,Batticaloa,LK,78.98,overcast clouds,7.7102,81.6924,Grand Star Guest House
215,Los Algarrobos,PA,82.81,scattered clouds,8.5,-82.4333,Waterfall Hostel
217,Pundaguitan,PH,82.0,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
240,Alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
243,Camocim,BR,85.3,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
248,Kavieng,PG,82.47,light rain,-2.5744,150.7967,Nusa Island Retreat
251,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
255,Kingman,US,79.05,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
270,Zaraza,VE,82.4,overcast clouds,9.3503,-65.3245,Hotel Zaraza
272,Porto Novo,BJ,80.08,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
275,Kapiri Mposhi,ZM,77.58,scattered clouds,-13.9652,28.6809,MA 22 LODGE
284,Padang,ID,77.79,light rain,-0.9492,100.3543,Mercure Padang
287,Celestun,MX,79.88,scattered clouds,20.8667,-90.4,Posada Lilia
292,Kupang,ID,79.43,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
294,Kahului,US,81.66,clear sky,20.8947,-156.47,Maui Seaside Hotel
301,Kirando,TZ,78.15,overcast clouds,-7.4167,30.6,Lakeshore Lodge
305,Mana,GF,83.03,few clouds,5.6592,-53.7767,LE SAMANA
