City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Weather Desciption
0,Hambantota,LK,6.1241,81.1185,78.49,84,70,1.5,broken clouds
1,Lingyuan,CN,41.24,119.4011,43.57,73,100,10.51,overcast clouds
2,Hasaki,JP,35.7333,140.8333,52.2,60,99,6.26,overcast clouds
3,Albany,US,42.6001,-73.9662,58.68,91,100,4.0,overcast clouds
4,Carnarvon,AU,-24.8667,113.6333,66.27,68,0,16.11,clear sky
5,Tilichiki,RU,60.4667,166.1,4.23,95,20,7.81,few clouds
6,Rikitea,PF,-23.1203,-134.9692,74.97,85,100,20.74,light rain
7,Clyde River,CA,70.4692,-68.5914,28.63,100,90,19.57,snow
8,Tuktoyaktuk,CA,69.4541,-133.0374,15.96,92,32,9.24,scattered clouds
9,Abu Dhabi,AE,24.4667,54.3667,84.22,61,0,5.75,clear sky
10,Dikson,RU,73.5069,80.5464,6.94,92,100,16.93,overcast clouds
11,Tasiilaq,GL,65.6145,-37.6368,24.96,63,91,6.33,overcast clouds
12,Yellowknife,CA,62.456,-114.3525,30.42,85,40,8.01,scattered clouds
13,Mahebourg,MU,-20.4081,57.7,71.89,88,40,3.44,scattered clouds
14,Lorengau,PG,-2.0226,147.2712,81.73,78,71,6.89,broken clouds
15,Punta Arenas,CL,-53.15,-70.9167,51.91,43,0,18.41,clear sky
16,Teo,ES,42.75,-8.5,62.58,90,75,8.05,broken clouds
17,Georgetown,MY,5.4112,100.3354,77.9,92,20,1.01,few clouds
18,Alta Floresta,BR,-9.8756,-56.0861,89.42,58,20,4.61,few clouds
19,Butaritari,KI,3.0707,172.7902,82.27,71,33,5.88,scattered clouds
20,Grand Gaube,MU,-20.0064,57.6608,72.0,84,8,7.49,clear sky
21,Adrar,MR,20.5022,-10.0711,84.56,13,100,9.48,overcast clouds
22,Castro,BR,-24.7911,-50.0119,70.02,78,51,7.99,broken clouds
23,Punto Fijo,VE,11.6956,-70.1996,82.51,73,100,17.45,overcast clouds
24,Atuona,PF,-9.8,-139.0333,77.76,67,6,19.1,clear sky
25,Barrow,US,71.2906,-156.7887,15.82,86,90,5.75,overcast clouds
26,Kapaa,US,22.0752,-159.319,80.58,90,1,3.44,clear sky
